epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,16820,0.42517,0.29287,0.97263,0.99806,0.99935,0.99479,0.94222,0.37445,0.14649,0.89139,0.0056935,0.0056935,0.0056935
89,17010.6,0.42598,0.28738,0.97299,0.99799,0.99935,0.99479,0.94219,0.37442,0.14657,0.89116,0.005644,0.005644,0.005644
90,17201.4,0.42593,0.29022,0.97202,0.99797,0.99935,0.99479,0.94232,0.37429,0.14637,0.891,0.0055945,0.0055945,0.0055945
91,17391.8,0.42567,0.28708,0.97414,0.99797,0.99935,0.9948,0.94244,0.37423,0.14669,0.89097,0.005545,0.005545,0.005545
92,17582.2,0.42492,0.28672,0.97336,0.99802,0.99935,0.9948,0.94216,0.37422,0.14657,0.89087,0.0054955,0.0054955,0.0054955
93,17772.8,0.42554,0.2879,0.974,0.99796,0.99935,0.9948,0.94235,0.37414,0.14673,0.89084,0.005446,0.005446,0.005446
94,17963.2,0.42129,0.28292,0.97051,0.99792,0.99935,0.9948,0.94289,0.37412,0.14698,0.89076,0.0053965,0.0053965,0.0053965
95,18153.5,0.42432,0.28268,0.9725,0.99793,0.99935,0.9948,0.94254,0.3741,0.14687,0.89075,0.005347,0.005347,0.005347
96,18343.9,0.42311,0.28306,0.97232,0.99798,0.99935,0.9948,0.94295,0.37406,0.14661,0.89076,0.0052975,0.0052975,0.0052975
97,18534,0.42129,0.27898,0.97092,0.99799,0.99935,0.9948,0.9429,0.3741,0.14668,0.89077,0.005248,0.005248,0.005248
98,18724.4,0.41708,0.27769,0.96896,0.99817,0.99935,0.9948,0.94331,0.374,0.14639,0.89071,0.0051985,0.0051985,0.0051985
99,18915.1,0.42391,0.28112,0.97374,0.99817,0.99935,0.9948,0.9437,0.37391,0.14636,0.8906,0.005149,0.005149,0.005149
100,19105.6,0.41825,0.27333,0.97166,0.99805,0.99935,0.9948,0.9436,0.37396,0.14648,0.8906,0.0050995,0.0050995,0.0050995
101,19296,0.41839,0.27398,0.97204,0.99812,0.99935,0.9948,0.94362,0.37391,0.14654,0.89049,0.00505,0.00505,0.00505
102,19486,0.41661,0.27093,0.96902,0.99813,0.99935,0.9948,0.94345,0.37382,0.14648,0.8904,0.0050005,0.0050005,0.0050005
103,19676.2,0.41863,0.27486,0.96837,0.99819,0.99935,0.9948,0.94344,0.37387,0.14654,0.89039,0.004951,0.004951,0.004951
104,19866.4,0.41502,0.26684,0.96765,0.9982,0.99935,0.9948,0.94349,0.37377,0.14631,0.89032,0.0049015,0.0049015,0.0049015
105,20056.7,0.41527,0.26879,0.96594,0.99825,0.99935,0.99481,0.94371,0.37361,0.14618,0.89027,0.004852,0.004852,0.004852
106,20247.5,0.41585,0.27322,0.96826,0.99824,0.99935,0.9948,0.94383,0.3736,0.14606,0.89026,0.0048025,0.0048025,0.0048025
107,20437.9,0.41411,0.2664,0.96869,0.9983,0.99935,0.99481,0.94372,0.37353,0.14606,0.89022,0.004753,0.004753,0.004753
108,20628.6,0.41284,0.26795,0.96621,0.99835,0.99935,0.99481,0.9437,0.37351,0.14602,0.89018,0.0047035,0.0047035,0.0047035
109,20819,0.41269,0.26353,0.96608,0.99834,0.99935,0.99481,0.94399,0.37342,0.14609,0.89009,0.004654,0.004654,0.004654
110,21009.4,0.41254,0.26801,0.96622,0.99839,0.99935,0.99481,0.94433,0.37333,0.14604,0.89001,0.0046045,0.0046045,0.0046045
111,21199.9,0.41315,0.26429,0.96649,0.9983,0.99935,0.99481,0.94427,0.37326,0.14576,0.88989,0.004555,0.004555,0.004555
112,21390.1,0.41266,0.26523,0.96715,0.99819,0.99935,0.99481,0.94407,0.37324,0.14581,0.88983,0.0045055,0.0045055,0.0045055
113,21580.6,0.41205,0.26267,0.96672,0.99819,0.99935,0.99481,0.9441,0.3732,0.14571,0.88983,0.004456,0.004456,0.004456
114,21771,0.41083,0.26199,0.96564,0.99824,0.99935,0.99481,0.94379,0.37317,0.14567,0.88981,0.0044065,0.0044065,0.0044065
115,21961.3,0.41321,0.26418,0.96699,0.99822,0.99935,0.99481,0.94363,0.37304,0.14572,0.88966,0.004357,0.004357,0.004357
116,22151.9,0.41043,0.25922,0.96678,0.99825,0.99935,0.99481,0.94353,0.37299,0.14579,0.88957,0.0043075,0.0043075,0.0043075
117,22342.5,0.40865,0.25914,0.96187,0.99825,0.99935,0.9948,0.94372,0.37301,0.14545,0.88954,0.004258,0.004258,0.004258
118,22532.7,0.40942,0.25694,0.96616,0.99836,0.99935,0.9948,0.94371,0.37294,0.14542,0.88948,0.0042085,0.0042085,0.0042085
119,22723.2,0.41206,0.2598,0.9644,0.99829,0.99935,0.99481,0.94341,0.37294,0.14549,0.88947,0.004159,0.004159,0.004159
120,22913.8,0.40757,0.2526,0.96346,0.99822,0.99935,0.99481,0.94382,0.37286,0.14562,0.88939,0.0041095,0.0041095,0.0041095
121,23104.2,0.40635,0.25331,0.96507,0.99821,0.99935,0.99481,0.9439,0.37287,0.14521,0.8894,0.00406,0.00406,0.00406
122,23294.7,0.40918,0.25534,0.96405,0.99821,0.99935,0.99481,0.94378,0.37285,0.14502,0.88938,0.0040105,0.0040105,0.0040105
123,23484.9,0.40598,0.25062,0.96161,0.99817,0.99935,0.99481,0.94391,0.37282,0.14519,0.88936,0.003961,0.003961,0.003961
124,23675.3,0.40357,0.24792,0.96163,0.99818,0.99935,0.99481,0.94391,0.37282,0.145,0.88932,0.0039115,0.0039115,0.0039115
125,23865.7,0.40645,0.24929,0.96334,0.99812,0.99935,0.99481,0.94374,0.37283,0.14496,0.88926,0.003862,0.003862,0.003862
126,24056.5,0.40586,0.25037,0.96251,0.99823,0.99935,0.99481,0.94385,0.37277,0.14517,0.88915,0.0038125,0.0038125,0.0038125
127,24247.4,0.40544,0.24925,0.9615,0.99826,0.99935,0.99481,0.94365,0.37281,0.14531,0.88913,0.003763,0.003763,0.003763
128,24438,0.40268,0.24137,0.9606,0.99821,0.99935,0.99481,0.94372,0.37278,0.14522,0.88913,0.0037135,0.0037135,0.0037135
129,24628.2,0.40373,0.24335,0.95995,0.99826,0.99935,0.99481,0.94407,0.37279,0.14538,0.88911,0.003664,0.003664,0.003664
130,24818.7,0.40197,0.24353,0.95927,0.99841,0.99935,0.99481,0.94407,0.37273,0.14544,0.88903,0.0036145,0.0036145,0.0036145
131,25009.5,0.39712,0.2399,0.95822,0.9984,0.99935,0.99481,0.94441,0.37265,0.1452,0.88889,0.003565,0.003565,0.003565
132,25200,0.40281,0.24357,0.96276,0.99837,0.99935,0.99482,0.94404,0.37258,0.14514,0.88879,0.0035155,0.0035155,0.0035155
133,25389.9,0.39892,0.24118,0.958,0.99837,0.99935,0.99482,0.94411,0.37258,0.14514,0.88879,0.003466,0.003466,0.003466
134,25580.5,0.39795,0.23951,0.95936,0.99834,0.99935,0.99482,0.94386,0.37252,0.14494,0.88866,0.0034165,0.0034165,0.0034165
135,25770.7,0.40296,0.24203,0.96142,0.99835,0.99935,0.99482,0.94394,0.37247,0.14495,0.88856,0.003367,0.003367,0.003367
136,25961,0.39799,0.24075,0.95578,0.99833,0.99935,0.99482,0.94425,0.37247,0.145,0.88849,0.0033175,0.0033175,0.0033175
137,26151.1,0.39634,0.23667,0.95873,0.9983,0.99935,0.99482,0.94411,0.37243,0.14508,0.88835,0.003268,0.003268,0.003268
138,26341.2,0.39635,0.23536,0.95548,0.99829,0.99935,0.99482,0.94407,0.37234,0.14501,0.88827,0.0032185,0.0032185,0.0032185
139,26531.5,0.40158,0.24064,0.96028,0.99825,0.99935,0.99482,0.94415,0.37227,0.14473,0.88817,0.003169,0.003169,0.003169
140,26721.5,0.39639,0.23468,0.9585,0.99827,0.99935,0.99482,0.94434,0.37225,0.14479,0.88809,0.0031195,0.0031195,0.0031195
141,26912,0.39746,0.23361,0.95836,0.99829,0.99935,0.99482,0.9444,0.37222,0.14484,0.88807,0.00307,0.00307,0.00307
142,27102.6,0.39353,0.2301,0.95641,0.99829,0.99935,0.99482,0.94427,0.37217,0.14473,0.88798,0.0030205,0.0030205,0.0030205
143,27293.2,0.39505,0.23103,0.9559,0.9983,0.99935,0.99482,0.94446,0.37209,0.14466,0.8879,0.002971,0.002971,0.002971
144,27483.4,0.39143,0.22789,0.95662,0.99833,0.99935,0.99483,0.94464,0.37207,0.14463,0.88789,0.0029215,0.0029215,0.0029215
145,27673.9,0.39331,0.22785,0.95722,0.99836,0.99935,0.99483,0.94497,0.37202,0.14467,0.88781,0.002872,0.002872,0.002872
146,27864.2,0.39197,0.22924,0.95652,0.99841,0.99935,0.99483,0.94481,0.37192,0.14468,0.8877,0.0028225,0.0028225,0.0028225
147,28054.5,0.39241,0.22779,0.95553,0.99843,0.99935,0.99483,0.94484,0.37193,0.14483,0.88768,0.002773,0.002773,0.002773
148,28245,0.38874,0.22574,0.956,0.99842,0.99935,0.99483,0.94477,0.37192,0.14506,0.8877,0.0027235,0.0027235,0.0027235
149,28435.8,0.39132,0.22475,0.95607,0.99841,0.99935,0.99483,0.94492,0.37192,0.14537,0.88765,0.002674,0.002674,0.002674
150,28626.5,0.39166,0.22687,0.95545,0.99841,0.99935,0.99483,0.94504,0.37191,0.14509,0.88765,0.0026245,0.0026245,0.0026245
151,28817,0.3917,0.22482,0.95605,0.99856,0.99935,0.99483,0.94498,0.37189,0.14498,0.88758,0.002575,0.002575,0.002575
152,29007.4,0.38788,0.22157,0.95265,0.99856,0.99935,0.99483,0.94464,0.3718,0.14489,0.88745,0.0025255,0.0025255,0.0025255
153,29198,0.38588,0.21866,0.95276,0.99855,0.99935,0.99483,0.9449,0.37174,0.14482,0.88735,0.002476,0.002476,0.002476
154,29388.6,0.38665,0.22033,0.95195,0.99856,0.99935,0.99483,0.94489,0.37168,0.14491,0.88731,0.0024265,0.0024265,0.0024265
155,29578.9,0.38633,0.22044,0.9522,0.9985,0.99935,0.99483,0.94461,0.37165,0.14505,0.88727,0.002377,0.002377,0.002377
156,29769.6,0.38081,0.21722,0.94938,0.99856,0.99935,0.99483,0.94472,0.37163,0.14503,0.88725,0.0023275,0.0023275,0.0023275
157,29959.7,0.38363,0.21934,0.9513,0.99851,0.99935,0.99483,0.94473,0.37157,0.145,0.88714,0.002278,0.002278,0.002278
158,30150.3,0.38597,0.21968,0.95342,0.9985,0.99935,0.99483,0.94452,0.37156,0.14454,0.88709,0.0022285,0.0022285,0.0022285
159,30340.7,0.3831,0.21742,0.95103,0.99849,0.99935,0.99483,0.9448,0.37156,0.14476,0.88705,0.002179,0.002179,0.002179
160,30531.1,0.38322,0.2185,0.95079,0.99849,0.99935,0.99483,0.94444,0.37161,0.14445,0.88703,0.0021295,0.0021295,0.0021295
161,30721.6,0.38065,0.21463,0.94913,0.99843,0.99935,0.99483,0.94469,0.37158,0.14464,0.88696,0.00208,0.00208,0.00208
162,30911.9,0.38124,0.21441,0.95076,0.99854,0.99935,0.99483,0.94457,0.3716,0.14451,0.88704,0.0020305,0.0020305,0.0020305
163,31102.4,0.38049,0.21414,0.9499,0.99848,0.99935,0.99483,0.94459,0.37149,0.14444,0.88697,0.001981,0.001981,0.001981
164,31292.7,0.3785,0.21078,0.94821,0.99847,0.99935,0.99483,0.94445,0.37138,0.14457,0.88684,0.0019315,0.0019315,0.0019315
165,31483.3,0.37591,0.20833,0.94829,0.99846,0.99935,0.99483,0.94481,0.37133,0.14442,0.88678,0.001882,0.001882,0.001882
166,31674,0.37845,0.20838,0.94948,0.99845,0.99935,0.99483,0.94451,0.37133,0.14455,0.88672,0.0018325,0.0018325,0.0018325
167,31864.2,0.37859,0.20935,0.95036,0.99842,0.99935,0.99483,0.94469,0.37138,0.14471,0.88678,0.001783,0.001783,0.001783
168,32054.6,0.37625,0.20638,0.94654,0.99842,0.99935,0.99483,0.94494,0.37143,0.14464,0.88675,0.0017335,0.0017335,0.0017335
169,32244.9,0.37683,0.20802,0.94726,0.99835,0.99935,0.99483,0.9448,0.37144,0.14458,0.88669,0.001684,0.001684,0.001684
170,32435.4,0.36934,0.20273,0.94472,0.99845,0.99935,0.99483,0.94489,0.37143,0.14447,0.88665,0.0016345,0.0016345,0.0016345
171,32626,0.37234,0.20547,0.94503,0.99844,0.99935,0.99483,0.94485,0.37139,0.14451,0.88662,0.001585,0.001585,0.001585
